fold,validation_year,horizon_min,threshold,cost_bps_round_trip,train_rows,validation_rows,best_iteration,trades,longs,shorts,gross_return_sum,net_return_sum,compound_return,win_rate,profit_factor,max_drawdown,avg_trade_net
1,2022,5,0.0,0.0,247621,412517,18,82541,53755,28786,0.6522646173503226,0.6522646173503226,0.8976269669746559,0.4360863086223816,1.0500603546034348,-0.060329572428259315,7.90231057717162e-06
1,2022,5,0.0,1.0,247621,412517,18,82541,53755,28786,0.6522646173503226,-7.6018353826496785,-0.9995064299141001,0.3427024145576138,0.5792994236869953,-0.9995067843703277,-9.209768942282839e-05
1,2022,5,0.0,2.0,247621,412517,18,82541,53755,28786,0.6522646173503226,-15.855935382649678,-0.9999998717290592,0.2607916065955101,0.33507030529246407,-0.9999998717314249,-0.00019209768942282838
1,2022,5,0.0,5.0,247621,412517,18,82541,53755,28786,0.6522646173503226,-40.61823538264968,-1.0,0.1093759464993155,0.08249477313318294,-1.0,-0.0004920976894228284
1,2022,5,0.0001,0.0,247621,412517,18,55,55,0,3.0027803298918448e-05,3.0027803298918448e-05,-4.483744265437739e-05,0.5454545454545454,1.0009190167937492,-0.012693602976338147,5.459600599803354e-07
1,2022,5,0.0001,1.0,247621,412517,18,55,55,0,3.0027803298918448e-05,-0.005469972196701079,-0.005529779608504981,0.4909090909090909,0.8451481857338224,-0.014963173692341236,-9.945403994001962e-05
1,2022,5,0.0001,2.0,247621,412517,18,55,55,0,3.0027803298918448e-05,-0.010969972196701079,-0.01098517990577852,0.4727272727272727,0.7124576902805124,-0.01799006451135754,-0.0001994540399400196
1,2022,5,0.0001,5.0,247621,412517,18,55,55,0,3.0027803298918448e-05,-0.02746997219670108,-0.027175687353215072,0.32727272727272727,0.42912503564372245,-0.03037685645520738,-0.0004994540399400197
1,2022,5,0.0002,0.0,247621,412517,18,0,0,0,0.0,0.0,0.0,,,,
1,2022,5,0.0002,1.0,247621,412517,18,0,0,0,0.0,0.0,0.0,,,,
1,2022,5,0.0002,2.0,247621,412517,18,0,0,0,0.0,0.0,0.0,,,,
1,2022,5,0.0002,5.0,247621,412517,18,0,0,0,0.0,0.0,0.0,,,,
1,2022,5,0.0005,0.0,247621,412517,18,0,0,0,0.0,0.0,0.0,,,,
1,2022,5,0.0005,1.0,247621,412517,18,0,0,0,0.0,0.0,0.0,,,,
1,2022,5,0.0005,2.0,247621,412517,18,0,0,0,0.0,0.0,0.0,,,,
1,2022,5,0.0005,5.0,247621,412517,18,0,0,0,0.0,0.0,0.0,,,,
1,2022,15,0.0,0.0,247297,411997,5,27511,26066,1445,-0.11456963050155035,-0.11456963050155035,-0.1182406964708449,0.4265566500672458,0.9851404796459337,-0.28754472028199773,-4.164502580842221e-06
1,2022,15,0.0,1.0,247297,411997,5,27511,26066,1445,-0.11456963050155035,-2.865669630501551,-0.9437015026834877,0.3745047435571226,0.6938011581469163,-0.9440885999655734,-0.00010416450258084225
1,2022,15,0.0,2.0,247297,411997,5,27511,26066,1445,-0.11456963050155035,-5.616769630501551,-0.9964064470239244,0.3219439496928501,0.49637669298177095,-0.9964236552224793,-0.00020416450258084224
1,2022,15,0.0,5.0,247297,411997,5,27511,26066,1445,-0.11456963050155035,-13.87006963050155,-0.9999990669851967,0.19610337683108575,0.1985338651810403,-0.9999990665184559,-0.0005041645025808423
1,2022,15,0.0001,0.0,247297,411997,5,13,0,13,0.006306466540692001,0.006306466540692001,0.006299017519335148,0.6153846153846154,1.7247343453129924,-0.004334859930565593,0.0004851128108224616
1,2022,15,0.0001,1.0,247297,411997,5,13,0,13,0.006306466540692001,0.005006466540692,0.004992241813795983,0.6153846153846154,1.5440768816048314,-0.0046339626292825065,0.00038511281082246154
1,2022,15,0.0001,2.0,247297,411997,5,13,0,13,0.006306466540692001,0.003706466540691999,0.0036870327013074355,0.6153846153846154,1.3820405141801007,-0.0049330054207711305,0.00028511281082246144
1,2022,15,0.0001,5.0,247297,411997,5,13,0,13,0.006306466540692001,-0.00019353345930800013,-0.00021921228659449454,0.5384615384615384,0.9828923706522885,-0.005829774411869604,-1.4887189177538472e-05
1,2022,15,0.0002,0.0,247297,411997,5,0,0,0,0.0,0.0,0.0,,,,
1,2022,15,0.0002,1.0,247297,411997,5,0,0,0,0.0,0.0,0.0,,,,
1,2022,15,0.0002,2.0,247297,411997,5,0,0,0,0.0,0.0,0.0,,,,
1,2022,15,0.0002,5.0,247297,411997,5,0,0,0,0.0,0.0,0.0,,,,
1,2022,15,0.0005,0.0,247297,411997,5,0,0,0,0.0,0.0,0.0,,,,
1,2022,15,0.0005,1.0,247297,411997,5,0,0,0,0.0,0.0,0.0,,,,
1,2022,15,0.0005,2.0,247297,411997,5,0,0,0,0.0,0.0,0.0,,,,
1,2022,15,0.0005,5.0,247297,411997,5,0,0,0,0.0,0.0,0.0,,,,
1,2022,30,0.0,0.0,246811,411217,4,13754,13325,429,0.0016685614532874343,0.0016685614532874343,-0.009579454983360103,0.42620328631670784,1.0003075810111521,-0.23772678257110702,1.2131463234604002e-07
1,2022,30,0.0,1.0,246811,411217,4,13754,13325,429,0.0016685614532874343,-1.3737314385467125,-0.7497003553012103,0.387523629489603,0.7798347026717933,-0.7505979800819566,-9.987868536765395e-05
1,2022,30,0.0,2.0,246811,411217,4,13754,13325,429,0.0016685614532874343,-2.749131438546713,-0.9367528325100506,0.34724443798167803,0.6133698688926713,-0.9369103081719196,-0.000199878685367654
1,2022,30,0.0,5.0,246811,411217,4,13754,13325,429,0.0016685614532874343,-6.875331438546713,-0.9989804112554742,0.2480732877708303,0.3135173001294201,-0.9989800723862513,-0.000499878685367654
1,2022,30,0.0001,0.0,246811,411217,4,46,1,45,-0.006728602753590735,-0.006728602753590735,-0.006899739852475606,0.5217391304347826,0.8820597422554773,-0.019231411708192203,-0.00014627397290414642
1,2022,30,0.0001,1.0,246811,411217,4,46,1,45,-0.006728602753590735,-0.011328602753590735,-0.011458441310146283,0.5217391304347826,0.8088029919357496,-0.020703442222103297,-0.00024627397290414644
1,2022,30,0.0001,2.0,246811,411217,4,46,1,45,-0.006728602753590735,-0.015928602753590735,-0.015996669500051408,0.5217391304347826,0.740791559151607,-0.0225430964726111,-0.00034627397290414643
1,2022,30,0.0001,5.0,246811,411217,4,46,1,45,-0.006728602753590735,-0.02972860275359073,-0.02948941165300345,0.5,0.5644946625894947,-0.033825548123713856,-0.0006462739729041463
1,2022,30,0.0002,0.0,246811,411217,4,7,1,6,-0.0013863127630166,-0.0013863127630166,-0.0013957997436969682,0.5714285714285714,0.7486950023554123,-0.004370358628518423,-0.00019804468043094285
1,2022,30,0.0002,1.0,246811,411217,4,7,1,6,-0.0013863127630166,-0.0020863127630166,-0.002094753455179288,0.5714285714285714,0.6413085481688402,-0.004569911168059826,-0.00029804468043094284
1,2022,30,0.0002,2.0,246811,411217,4,7,1,6,-0.0013863127630166,-0.0027863127630166,-0.002793287794238042,0.42857142857142855,0.5514796934258869,-0.00486476494446475,-0.00039804468043094283
1,2022,30,0.0002,5.0,246811,411217,4,7,1,6,-0.0013863127630166,-0.0048863127630166,-0.0048863766735243175,0.42857142857142855,0.3407772534373056,-0.005761574865674413,-0.0006980446804309428
1,2022,30,0.0005,0.0,246811,411217,4,0,0,0,0.0,0.0,0.0,,,,
1,2022,30,0.0005,1.0,246811,411217,4,0,0,0,0.0,0.0,0.0,,,,
1,2022,30,0.0005,2.0,246811,411217,4,0,0,0,0.0,0.0,0.0,,,,
1,2022,30,0.0005,5.0,246811,411217,4,0,0,0,0.0,0.0,0.0,,,,
1,2022,60,0.0,0.0,245839,409657,1,6875,6771,104,-0.0764275067798136,-0.0764275067798136,-0.08392377278281205,0.42603636363636366,0.9802315084874724,-0.2663538442958665,-1.1116728258881978e-05
1,2022,60,0.0,1.0,245839,409657,1,6875,6771,104,-0.0764275067798136,-0.7639275067798135,-0.5393883353236028,0.4,0.8210707190616954,-0.5436450078847922,-0.00011111672825888196
1,2022,60,0.0,2.0,245839,409657,1,6875,6771,104,-0.0764275067798136,-1.4514275067798137,-0.7684160878365067,0.37018181818181817,0.690621396656534,-0.7691453926557621,-0.00021111672825888198
1,2022,60,0.0,5.0,245839,409657,1,6875,6771,104,-0.0764275067798136,-3.513927506779814,-0.970579537130908,0.29294545454545456,0.4211266542149062,-0.9706227416951924,-0.0005111167282588821
1,2022,60,0.0001,0.0,245839,409657,1,31,5,26,-0.032424154855367114,-0.032424154855367114,-0.032235348108697215,0.41935483870967744,0.4992312263429664,-0.03364071874072283,-0.0010459404792053908
1,2022,60,0.0001,1.0,245839,409657,1,31,5,26,-0.032424154855367114,-0.03552415485536709,-0.03523411755044481,0.41935483870967744,0.466193550536379,-0.0361534462645996,-0.00114594047920539
