horizon_min,validation_year,top_k,long_threshold,short_threshold,cost_bps,auc,trades,compound,profit_factor,win_rate,max_drawdown,selected_features
15,2022,3,0.5,0.5,0,0.5169558620394166,14368,0.03033224265091161,1.0070380340206702,0.5066815144766147,-0.10174524308800736,distance_high_60|distance_sma_60|distance_sma_15
15,2022,3,0.5,0.5,1,0.5169558620394166,14368,-0.7551203639380373,0.7785980493395699,0.45427338530066813,-0.7554199253491214,distance_high_60|distance_sma_60|distance_sma_15
15,2022,3,0.5,0.5,2,0.5169558620394166,14368,-0.9418076842934392,0.6025661277653653,0.4054844097995546,-0.9417742845658025,distance_high_60|distance_sma_60|distance_sma_15
15,2022,3,0.5,0.5,5,0.5169558620394166,14368,-0.9992197568756775,0.28404636696650093,0.27637806236080176,-0.9992190469040286,distance_high_60|distance_sma_60|distance_sma_15
15,2022,3,0.55,0.45,0,0.5169558620394166,931,-0.021274958978151348,0.9723428366452502,0.5316863587540279,-0.06873567150400295,distance_high_60|distance_sma_60|distance_sma_15
15,2022,3,0.55,0.45,1,0.5169558620394166,931,-0.10828752930481478,0.8497160665021437,0.5080558539205156,-0.1104737976810074,distance_high_60|distance_sma_60|distance_sma_15
15,2022,3,0.55,0.45,2,0.5169558620394166,931,-0.18757189981217692,0.7417815076651226,0.4758324382384533,-0.18789927924447458,distance_high_60|distance_sma_60|distance_sma_15
15,2022,3,0.55,0.45,5,0.5169558620394166,931,-0.3856145100514239,0.49071431699541007,0.40494092373791624,-0.3845709202243256,distance_high_60|distance_sma_60|distance_sma_15
15,2022,3,0.6,0.4,0,0.5169558620394166,134,-0.0005015602331768232,1.0007184496195074,0.5522388059701493,-0.03577911081884644,distance_high_60|distance_sma_60|distance_sma_15
15,2022,3,0.6,0.4,1,0.5169558620394166,134,-0.01380627447745053,0.9167845230765744,0.5223880597014925,-0.03887914676222404,distance_high_60|distance_sma_60|distance_sma_15
15,2022,3,0.6,0.4,2,0.5169558620394166,134,-0.026935188674301114,0.839363366840661,0.5149253731343284,-0.04444160630244631,distance_high_60|distance_sma_60|distance_sma_15
15,2022,3,0.6,0.4,5,0.5169558620394166,134,-0.06529003803927325,0.6413493834783769,0.4701492537313433,-0.06695341681007105,distance_high_60|distance_sma_60|distance_sma_15
15,2022,5,0.5,0.5,0,0.5168643613831163,14368,0.016709439437182727,1.0046414849904686,0.5072383073496659,-0.12098953802961532,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m
15,2022,5,0.5,0.5,1,0.5168643613831163,14368,-0.7583584247986606,0.7766741631896629,0.4557349665924276,-0.7596281019491481,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m
15,2022,5,0.5,0.5,2,0.5168643613831163,14368,-0.9425772418797181,0.6008893799734379,0.4070155902004454,-0.9425752652405813,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m
15,2022,5,0.5,0.5,5,0.5168643613831163,14368,-0.9992300781876078,0.2826717899467856,0.27651726057906456,-0.9992293776076967,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m
15,2022,5,0.55,0.45,0,0.5168643613831163,871,-0.0041997429700123545,0.996752405161241,0.5315729047072331,-0.07353733205917401,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m
15,2022,5,0.55,0.45,1,0.5168643613831163,871,-0.08726853469007012,0.8751565351987568,0.5086107921928817,-0.10090494359506486,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m
15,2022,5,0.55,0.45,2,0.5168643613831163,871,-0.16341508830462004,0.7677418418095521,0.47761194029850745,-0.16416810688424632,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m
15,2022,5,0.55,0.45,5,0.5168643613831163,871,-0.3558480382459517,0.515734578053632,0.41446613088404133,-0.355074894434521,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m
15,2022,5,0.6,0.4,0,0.5168643613831163,109,-0.025025871990389192,0.8266650993932596,0.5229357798165137,-0.03806611195259757,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m
15,2022,5,0.6,0.4,1,0.5168643613831163,109,-0.0355983997984991,0.7595394916575576,0.4954128440366973,-0.04192025096420948,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m
15,2022,5,0.6,0.4,2,0.5168643613831163,109,-0.046057320617604924,0.6974102797258087,0.4954128440366973,-0.05017960247929243,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m
15,2022,5,0.6,0.4,5,0.5168643613831163,109,-0.0767644732746976,0.5360156022609388,0.46788990825688076,-0.07984181623533038,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m
15,2022,10,0.5,0.5,0,0.5168808555633486,14368,0.03591573667183967,1.0080127817115052,0.5053591314031181,-0.11044890754964876,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m|momentum_15m|return_15m|return_5m|momentum_5m|momentum_60m
15,2022,10,0.5,0.5,1,0.5168808555633486,14368,-0.753793198733857,0.7793954020326135,0.45434298440979953,-0.7548093858602831,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m|momentum_15m|return_15m|return_5m|momentum_5m|momentum_60m
15,2022,10,0.5,0.5,2,0.5168808555633486,14368,-0.9414922698979025,0.6032246551572784,0.4061108017817372,-0.9414902559112374,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m|momentum_15m|return_15m|return_5m|momentum_5m|momentum_60m
