horizon_min,validation_year,feature,auc,advantage_abs,n
15,2024,momentum_15m,0.48263381544980827,0.017366184550191732,42993
15,2024,momentum_30m,0.4890672279340943,0.010932772065905705,42993
15,2024,momentum_60m,0.4909351242565772,0.009064875743422796,42993
15,2024,sma_15,0.501016006974623,0.0010160069746230072,42993
15,2024,sma_60,0.5012252571381421,0.001225257138142144,42993
15,2024,sma_240,0.501380670122607,0.0013806701226070084,42993
15,2024,distance_sma_15,0.4825801579264323,0.017419842073567726,42993
15,2024,distance_sma_60,0.4855309851282761,0.014469014871723918,42993
15,2024,distance_sma_240,0.4910105525849357,0.0089894474150643,42993
15,2024,sma_15_slope,0.48943226662738193,0.010567733372618071,42993
15,2024,sma_60_slope,0.4961509106400015,0.003849089359998503,42993
15,2024,sma_240_slope,0.4936929558047464,0.006307044195253575,42993
15,2024,rolling_high_60,0.501102806641615,0.001102806641614995,42993
15,2024,rolling_low_60,0.5013069247134048,0.0013069247134047668,42993
15,2024,rolling_high_240,0.5013166813154588,0.001316681315458812,42993
15,2024,rolling_low_240,0.5014017352920334,0.001401735292033357,42993
15,2024,distance_high_60,0.4847512773194057,0.015248722680594295,42993
15,2024,distance_low_60,0.4875840718227904,0.0124159281772096,42993
15,2024,distance_high_240,0.4866466436444769,0.013353356355523094,42993
15,2024,distance_low_240,0.4942235850849077,0.005776414915092287,42993
15,2024,hour_sin,0.49829561740145767,0.001704382598542331,42993
15,2024,hour_cos,0.4997475902653982,0.0002524097346017773,42993
15,2024,minute_sin,0.4927496000713082,0.007250399928691809,42993
15,2024,minute_cos,0.5022044574262147,0.0022044574262146677,42993
15,2025,return_1m,0.49396396823363087,0.006036031766369132,42874
15,2025,return_5m,0.48768242935238304,0.01231757064761696,42874
15,2025,return_15m,0.4860988916286213,0.013901108371378701,42874
15,2025,return_30m,0.48800867940250003,0.011991320597499966,42874
15,2025,return_60m,0.48683037729862966,0.013169622701370343,42874
15,2025,candle_range,0.5033023283076822,0.0033023283076821786,42874
15,2025,body,0.49345996932836167,0.0065400306716383305,42874
15,2025,abs_body,0.5012231481529904,0.0012231481529904054,42874
15,2025,upper_wick,0.5037352002154597,0.0037352002154596997,42874
15,2025,lower_wick,0.5013309858940098,0.0013309858940098174,42874
15,2025,body_range_ratio,0.49921428876488916,0.000785711235110842,42874
15,2025,upper_wick_ratio,0.5026091222629551,0.002609122262955066,42874
15,2025,lower_wick_ratio,0.49961822460982785,0.00038177539017214546,42874
15,2025,volatility_15m,0.5039371937412077,0.003937193741207712,42874
15,2025,volatility_30m,0.5068001795933808,0.006800179593380751,42874
15,2025,volatility_60m,0.506183496845676,0.006183496845675984,42874
15,2025,volatility_240m,0.4982476516890756,0.001752348310924412,42874
15,2025,momentum_5m,0.4876396762351021,0.012360323764897874,42874
15,2025,momentum_15m,0.486116602560415,0.013883397439584999,42874
15,2025,momentum_30m,0.4879047191963142,0.012095280803685826,42874
15,2025,momentum_60m,0.48661757374180037,0.013382426258199631,42874
15,2025,sma_15,0.49835195399864385,0.0016480460013561515,42874
15,2025,sma_60,0.49857973166020814,0.0014202683397918636,42874
15,2025,sma_240,0.49874545351141886,0.001254546488581143,42874
15,2025,distance_sma_15,0.4840930447113868,0.01590695528861319,42874
15,2025,distance_sma_60,0.48358379549974984,0.016416204500250164,42874
15,2025,distance_sma_240,0.4911142056577362,0.008885794342263775,42874
15,2025,sma_15_slope,0.49184575560831645,0.008154244391683552,42874
15,2025,sma_60_slope,0.49184829959365967,0.008151700406340334,42874
15,2025,sma_240_slope,0.5069879987082874,0.0069879987082873685,42874
15,2025,rolling_high_60,0.49865570693811806,0.0013442930618819404,42874
15,2025,rolling_low_60,0.4985558345405007,0.0014441654594993247,42874
15,2025,rolling_high_240,0.49901587642964346,0.0009841235703565432,42874
15,2025,rolling_low_240,0.49867235560622464,0.0013276443937753624,42874
15,2025,distance_high_60,0.48255475615219545,0.017445243847804548,42874
15,2025,distance_low_60,0.4884043034426495,0.011595696557350488,42874
15,2025,distance_high_240,0.487636156056668,0.012363843943332009,42874
15,2025,distance_low_240,0.4926890012237278,0.007310998776272226,42874
15,2025,hour_sin,0.4939409655944232,0.006059034405576813,42874
15,2025,hour_cos,0.49748283817681993,0.0025171618231800696,42874
15,2025,minute_sin,0.49499773274796616,0.005002267252033843,42874
15,2025,minute_cos,0.5040889765138401,0.0040889765138401035,42874
30,2022,return_1m,0.4990176380212769,0.0009823619787230897,43073
30,2022,return_5m,0.4893975352076128,0.01060246479238719,43073
30,2022,return_15m,0.4875592016104312,0.012440798389568797,43073
30,2022,return_30m,0.4872737616647952,0.01272623833520481,43073
30,2022,return_60m,0.48516986244741644,0.014830137552583555,43073
30,2022,candle_range,0.5032191642116404,0.0032191642116403685,43073
30,2022,body,0.49945290784894003,0.0005470921510599691,43073
30,2022,abs_body,0.49975552477462576,0.00024447522537424105,43073
30,2022,upper_wick,0.5007713221929561,0.0007713221929560587,43073
30,2022,lower_wick,0.5030819618302297,0.0030819618302296847,43073
30,2022,body_range_ratio,0.4976120256808153,0.0023879743191846936,43073
30,2022,upper_wick_ratio,0.5001831176252641,0.00018311762526412867,43073
30,2022,lower_wick_ratio,0.50175492611488,0.00175492611488004,43073
30,2022,volatility_15m,0.5036651360967285,0.003665136096728472,43073
30,2022,volatility_30m,0.5023137132310802,0.0023137132310802055,43073
30,2022,volatility_60m,0.5022751127308178,0.0022751127308178187,43073
30,2022,volatility_240m,0.49974145696488065,0.00025854303511935184,43073
30,2022,momentum_5m,0.48945084605073474,0.010549153949265255,43073
30,2022,momentum_15m,0.4876405564366093,0.012359443563390693,43073
30,2022,momentum_30m,0.4873699378756293,0.012630062124370678,43073
30,2022,momentum_60m,0.48528265503893897,0.01471734496106103,43073
30,2022,sma_15,0.5105190141870578,0.010519014187057807,43073
30,2022,sma_60,0.510738969658823,0.010738969658823039,43073
30,2022,sma_240,0.5107587663628119,0.010758766362811922,43073
30,2022,distance_sma_15,0.4876776530212772,0.012322346978722809,43073
30,2022,distance_sma_60,0.48460535074927535,0.015394649250724646,43073
30,2022,distance_sma_240,0.4913832568453721,0.008616743154627904,43073
30,2022,sma_15_slope,0.49135101914786194,0.008648980852138055,43073
30,2022,sma_60_slope,0.49500168423453544,0.004998315765464556,43073
30,2022,sma_240_slope,0.5088285968875446,0.00882859688754456,43073
30,2022,rolling_high_60,0.5108146969298728,0.010814696929872802,43073
30,2022,rolling_low_60,0.5105477147182124,0.010547714718212364,43073
30,2022,rolling_high_240,0.5106489072152558,0.010648907215255798,43073
30,2022,rolling_low_240,0.5106603175684125,0.010660317568412458,43073
30,2022,distance_high_60,0.487742557490424,0.012257442509576,43073
30,2022,distance_low_60,0.48956835630149886,0.010431643698501136,43073
30,2022,distance_high_240,0.4926746384413341,0.0073253615586659215,43073
30,2022,distance_low_240,0.4943626397732146,0.005637360226785404,43073
30,2022,hour_sin,0.5035530216148182,0.003553021614818186,43073
30,2022,hour_cos,0.49491081646842383,0.005089183531576169,43073
30,2022,minute_sin,0.4978225167260533,0.0021774832739466787,43073
30,2022,minute_cos,0.5000912634198916,9.126341989162956e-05,43073
30,2023,return_1m,0.4932421112190104,0.006757888780989596,42857
30,2023,return_5m,0.48974260170078654,0.01025739829921346,42857
30,2023,return_15m,0.49126621776336793,0.00873378223663207,42857
30,2023,return_30m,0.4900954627627404,0.009904537237259592,42857
30,2023,return_60m,0.4864803045423229,0.013519695457677117,42857
30,2023,candle_range,0.510289385010199,0.010289385010199048,42857
30,2023,body,0.4933288134450124,0.006671186554987607,42857
30,2023,abs_body,0.509135119363255,0.009135119363254951,42857
30,2023,upper_wick,0.5054111638580233,0.005411163858023316,42857
30,2023,lower_wick,0.5002530657904065,0.0002530657904065148,42857
30,2023,body_range_ratio,0.5026623299067579,0.0026623299067578543,42857
30,2023,upper_wick_ratio,0.5026231629277811,0.0026231629277810864,42857
30,2023,lower_wick_ratio,0.49507613939190803,0.004923860608091968,42857
30,2023,volatility_15m,0.5093072334577264,0.009307233457726438,42857
30,2023,volatility_30m,0.5078830424375268,0.0078830424375268,42857
30,2023,volatility_60m,0.5068266599373814,0.006826659937381407,42857
30,2023,volatility_240m,0.5084417552711084,0.008441755271108353,42857
30,2023,momentum_5m,0.4897966224916631,0.010203377508336886,42857
30,2023,momentum_15m,0.49131095124673824,0.008689048753261763,42857
30,2023,momentum_30m,0.49010181437074646,0.009898185629253542,42857
30,2023,momentum_60m,0.48657506360831065,0.013424936391689346,42857
30,2023,sma_15,0.5007825588315595,0.0007825588315595322,42857
30,2023,sma_60,0.5010777948128202,0.0010777948128202208,42857
30,2023,sma_240,0.5011444872413389,0.0011444872413388651,42857
30,2023,distance_sma_15,0.4898715002514662,0.010128499748533804,42857
30,2023,distance_sma_60,0.4864410003607731,0.01355899963922691,42857
30,2023,distance_sma_240,0.4878619736539612,0.012138026346038777,42857
30,2023,sma_15_slope,0.49556310399104386,0.004436896008956137,42857
30,2023,sma_60_slope,0.49256975000963793,0.00743024999036207,42857
30,2023,sma_240_slope,0.5004526911785989,0.0004526911785989185,42857
30,2023,rolling_high_60,0.5013593660711478,0.0013593660711478384,42857
30,2023,rolling_low_60,0.5008131081822558,0.0008131081822557729,42857
30,2023,rolling_high_240,0.5018889211801315,0.0018889211801315087,42857
30,2023,rolling_low_240,0.5005641094681226,0.0005641094681225756,42857
30,2023,distance_high_60,0.4839692774953009,0.016030722504699113,42857
30,2023,distance_low_60,0.49033818282579117,0.009661817174208831,42857
30,2023,distance_high_240,0.4800208814476079,0.019979118552392094,42857
30,2023,distance_low_240,0.4933456697611335,0.006654330238866524,42857
30,2023,hour_sin,0.5066647108113201,0.00666471081132014,42857
30,2023,hour_cos,0.49602775030495894,0.0039722496950410635,42857
30,2023,minute_sin,0.50214859773896,0.002148597738960034,42857
30,2023,minute_cos,0.5067776056618685,0.006777605661868469,42857
30,2024,return_1m,0.4929747834378233,0.007025216562176695,42993
30,2024,return_5m,0.4896538849404424,0.010346115059557626,42993
30,2024,return_15m,0.4863269842968655,0.013673015703134506,42993
30,2024,return_30m,0.48775422623953746,0.012245773760462542,42993
30,2024,return_60m,0.49031034369731197,0.009689656302688032,42993
30,2024,candle_range,0.5051593080246041,0.00515930802460407,42993
30,2024,body,0.49288082343348394,0.007119176566516061,42993
30,2024,abs_body,0.50627388080641,0.006273880806410004,42993
30,2024,upper_wick,0.503381849945557,0.003381849945557014,42993
30,2024,lower_wick,0.4979926350374954,0.0020073649625045875,42993
30,2024,body_range_ratio,0.5035236690542866,0.0035236690542865823,42993
30,2024,upper_wick_ratio,0.5017472568037434,0.0017472568037434355,42993
30,2024,lower_wick_ratio,0.4945081856347413,0.005491814365258696,42993
30,2024,volatility_15m,0.5026390042385762,0.0026390042385762147,42993
30,2024,volatility_30m,0.5024889852280989,0.0024889852280989277,42993
30,2024,volatility_60m,0.5033769098674379,0.003376909867437883,42993
30,2024,volatility_240m,0.5065460982734687,0.006546098273468748,42993
30,2024,momentum_5m,0.4896446727719753,0.01035532722802468,42993
30,2024,momentum_15m,0.4863613786299284,0.013638621370071602,42993
30,2024,momentum_30m,0.4877736790827643,0.012226320917235689,42993
30,2024,momentum_60m,0.4898593285310707,0.010140671468929274,42993
30,2024,sma_15,0.49968880539236626,0.00031119460763373574,42993
30,2024,sma_60,0.49995655048100945,4.344951899054594e-05,42993
30,2024,sma_240,0.5001660333947722,0.00016603339477216927,42993
30,2024,distance_sma_15,0.48493094398719655,0.01506905601280345,42993
30,2024,distance_sma_60,0.4859423261913467,0.014057673808653304,42993
30,2024,distance_sma_240,0.489349800017886,0.010650199982113973,42993
30,2024,sma_15_slope,0.4879800082714425,0.0120199917285575,42993
30,2024,sma_60_slope,0.4943934249026127,0.005606575097387323,42993
30,2024,sma_240_slope,0.49299858523871054,0.0070014147612894595,42993
30,2024,rolling_high_60,0.49964084018943206,0.0003591598105679439,42993
30,2024,rolling_low_60,0.5001383189394203,0.00013831893942028994,42993
30,2024,rolling_high_240,0.5001127329507749,0.00011273295077485201,42993
30,2024,rolling_low_240,0.500167170164885,0.00016717016488498881,42993
30,2024,distance_high_60,0.4872414194978749,0.012758580502125083,42993
30,2024,distance_low_60,0.48610492329246335,0.013895076707536647,42993
30,2024,distance_high_240,0.48408401127812795,0.015915988721872054,42993
30,2024,distance_low_240,0.4926513214567143,0.007348678543285692,42993
30,2024,hour_sin,0.49366643226683465,0.006333567733165346,42993
30,2024,hour_cos,0.49842986605413936,0.0015701339458606411,42993
30,2024,minute_sin,0.4948669838441495,0.005133016155850489,42993
30,2024,minute_cos,0.49814503801729515,0.0018549619827048502,42993
30,2025,return_1m,0.49487180914301077,0.005128190856989234,42874
30,2025,return_5m,0.49109819458616705,0.008901805413832953,42874
30,2025,return_15m,0.4840188255437213,0.015981174456278724,42874
30,2025,return_30m,0.4815732963844501,0.018426703615549878,42874
30,2025,return_60m,0.4836152370686412,0.01638476293135882,42874
30,2025,candle_range,0.5053611392428258,0.005361139242825774,42874
30,2025,body,0.49488255436121675,0.005117445638783247,42874
30,2025,abs_body,0.5030391800929238,0.00303918009292381,42874
30,2025,upper_wick,0.5048555661403484,0.004855566140348433,42874
30,2025,lower_wick,0.5010497268421695,0.0010497268421695294,42874
30,2025,body_range_ratio,0.4999628555507963,3.714444920371873e-05,42874
30,2025,upper_wick_ratio,0.5027567203258592,0.0027567203258591633,42874
30,2025,lower_wick_ratio,0.4976700654230567,0.0023299345769433044,42874
30,2025,volatility_15m,0.5129618161588329,0.01296181615883285,42874
30,2025,volatility_30m,0.514418145724781,0.01441814572478095,42874
30,2025,volatility_60m,0.5127582899833187,0.012758289983318738,42874
30,2025,volatility_240m,0.5016114138619449,0.0016114138619448548,42874
30,2025,momentum_5m,0.4910957096316825,0.008904290368317525,42874
30,2025,momentum_15m,0.48400078916130296,0.015999210838697042,42874
30,2025,momentum_30m,0.48148988725563974,0.018510112744360263,42874
30,2025,momentum_60m,0.4832462229646747,0.016753777035325323,42874
30,2025,sma_15,0.4937686366811782,0.006231363318821792,42874
30,2025,sma_60,0.49416237591856693,0.005837624081433068,42874
30,2025,sma_240,0.4944584827457234,0.005541517254276596,42874
30,2025,distance_sma_15,0.4857878839577985,0.014212116042201517,42874
30,2025,distance_sma_60,0.4797043083141197,0.0202956916858803,42874
30,2025,distance_sma_240,0.48752000090973124,0.012479999090268756,42874
30,2025,sma_15_slope,0.48451271161169024,0.015487288388309761,42874
30,2025,sma_60_slope,0.48906505437319414,0.010934945626805859,42874
30,2025,sma_240_slope,0.504787878686683,0.004787878686682956,42874
30,2025,rolling_high_60,0.49429034288956036,0.0057096571104396365,42874
30,2025,rolling_low_60,0.49410281886055785,0.005897181139442154,42874
30,2025,rolling_high_240,0.4948273778949078,0.005172622105092173,42874
30,2025,rolling_low_240,0.4943545959331412,0.005645404066858817,42874
30,2025,distance_high_60,0.4754533893311333,0.02454661066886671,42874
30,2025,distance_low_60,0.48837067274833357,0.011629327251666433,42874
30,2025,distance_high_240,0.47891701645647733,0.02108298354352267,42874
30,2025,distance_low_240,0.4916435880747809,0.008356411925219076,42874
30,2025,hour_sin,0.4944188315154696,0.0055811684845303855,42874
30,2025,hour_cos,0.49786797998857535,0.0021320200114246513,42874
30,2025,minute_sin,0.49550685961481544,0.0044931403851845575,42874
30,2025,minute_cos,0.49563570947038416,0.004364290529615844,42874
60,2022,return_1m,0.49955721484721327,0.0004427851527867288,43073
60,2022,return_5m,0.49087072663705394,0.009129273362946055,43073
60,2022,return_15m,0.4884664801257268,0.011533519874273201,43073
60,2022,return_30m,0.48745920993656844,0.012540790063431562,43073
