outer_fold,inner_year,outer_year,horizon_min,threshold,inner_trades,inner_compound_2bps,inner_profit_factor_2bps,inner_win_rate_2bps,inner_mdd_2bps,inner_avg_hold_minutes_2bps,inner_directional_accuracy_2bps,min_required_trades,eligible,selection_reason
1,2021,2022,15,0.34,41443,-0.9995939683861182,0.42683918779375307,0.48251815746929516,-0.9995944957849369,5.481914919286731,0.4591125159858118,415,True,
1,2021,2022,15,0.4,37943,-0.9991436681867971,0.4366694293808767,0.4918166723769865,-0.9991453740636099,5.030888437920038,0.47426402762037795,415,True,
1,2021,2022,15,0.45,32182,-0.9973642103269021,0.44593781362226503,0.5018022497048039,-0.99736731078381,4.345503697719222,0.49052265241439313,415,True,
1,2021,2022,15,0.5,21711,-0.9801529155021048,0.4589164215141691,0.5136566717332228,-0.9801608505663467,3.365298696513288,0.5081755791994841,415,True,
1,2021,2022,15,0.55,3350,-0.41546442201455414,0.4994021690832073,0.5364179104477612,-0.4160104572598007,2.4814925373134327,0.5304477611940298,415,True,
1,2021,2022,15,0.6,426,-0.06827767474689339,0.4831065944369822,0.5258215962441315,-0.06920814004753639,2.3943661971830985,0.5117370892018779,415,True,max_inner_2bps_compound_return_with_min_trades
1,2021,2022,15,0.65,105,-0.013399866468743693,0.5655468839199201,0.5619047619047619,-0.015511879187556255,2.5428571428571427,0.5523809523809524,415,False,
1,2021,2022,15,0.7,20,-0.0029981973329044065,0.5238095238095238,0.55,-0.004492355026072814,2.6,0.55,415,False,
1,2021,2022,15,0.75,4,0.00019963983798110263,1.2857142857142858,0.75,-0.0007000000000000339,2.5,0.75,415,False,
1,2021,2022,15,0.8,0,0.0,,,0.0,,,415,False,
1,2021,2022,30,0.34,42465,-0.9997053889954611,0.43366613583079905,0.49487813493465205,-0.9997054710657737,7.1088190274343575,0.4847286000235488,425,True,
1,2021,2022,30,0.4,41786,-0.999656313431815,0.4358466880377569,0.49696070454219116,-0.999656498119902,6.882783707461829,0.4879385440099555,425,True,
1,2021,2022,30,0.45,40358,-0.9995382276793511,0.43886437608450096,0.5005451211655682,-0.9995384452118042,6.462262748401804,0.49338421130878635,425,True,
1,2021,2022,30,0.5,34673,-0.998686189410258,0.4401181935922467,0.5038502581259193,-0.9986871085523961,5.509128140051337,0.49963948893952065,425,True,
1,2021,2022,30,0.55,5815,-0.643215220310678,0.4655449139687707,0.5181427343078245,-0.6432508738183487,4.44213241616509,0.5126397248495271,425,True,
1,2021,2022,30,0.6,618,-0.07501332316549325,0.5635561588066635,0.5614886731391586,-0.07840389494292266,6.477346278317152,0.5355987055016181,425,True,max_inner_2bps_compound_return_with_min_trades
1,2021,2022,30,0.65,150,-0.013807116764273486,0.6290457168285045,0.58,-0.016401950075088267,12.953333333333333,0.5,425,False,
1,2021,2022,30,0.7,46,0.0045340410593370795,1.9268882930972657,0.782608695652174,-0.0011137771437282895,18.73913043478261,0.6304347826086957,425,False,
1,2021,2022,30,0.75,20,0.003949858977049248,5.036416980012309,0.85,-0.00017223255035914153,15.7,0.8,425,False,
1,2021,2022,30,0.8,5,0.0011447284714038997,21.526705204038155,0.8,-5.574471284042204e-05,11.8,0.8,425,False,
1,2021,2022,60,0.34,41561,-0.9995663606061448,0.44983019215934217,0.509492071894324,-0.9995665047276775,7.761025961839224,0.5062678953826905,416,True,
1,2021,2022,60,0.4,41501,-0.9995657877136671,0.44950444834810355,0.5095298908460038,-0.9995661489944991,7.740126743933881,0.5062528613768343,416,True,
1,2021,2022,60,0.45,41329,-0.9995438916743633,0.4506514605180866,0.5104406107091872,-0.9995442711735174,7.640930097510223,0.5076338648406687,416,True,
1,2021,2022,60,0.5,40035,-0.9994418755895306,0.4493837492992626,0.5100287248657425,-0.999442823034959,7.323891594854502,0.5078556263269639,416,True,
1,2021,2022,60,0.55,7145,-0.705506267653365,0.47699180784603745,0.5230230930720784,-0.7058005553578366,8.1518544436669,0.5179846046186144,416,True,
1,2021,2022,60,0.6,875,-0.09299391933342593,0.6033369584017609,0.5737142857142857,-0.09335654949800365,12.878857142857143,0.56,416,True,max_inner_2bps_compound_return_with_min_trades
1,2021,2022,60,0.65,174,-0.010080408465450552,0.7471859088695029,0.5977011494252874,-0.013448171460729741,28.316091954022987,0.5517241379310345,416,False,
1,2021,2022,60,0.7,75,-2.038536170312355e-06,1.000323784025941,0.64,-0.005785828359814338,37.52,0.6133333333333333,416,False,
1,2021,2022,60,0.75,31,0.004495669878282316,2.7401203468383173,0.7741935483870968,-0.0007606322716362524,41.58064516129032,0.7419354838709677,416,False,
1,2021,2022,60,0.8,15,0.004019561103039138,22.35847522193587,0.9333333333333333,-0.0001878482301816975,33.13333333333333,0.9333333333333333,416,False,
2,2022,2023,15,0.34,45922,-0.9998152887938742,0.4333111250495641,0.4884586908235704,-0.9998152702599277,5.176516702234223,0.4700797003614825,460,True,
2,2022,2023,15,0.4,42640,-0.99966810501741,0.43611246885975546,0.4924718574108818,-0.9996680717150243,4.824272983114446,0.4789634146341463,460,True,
2,2022,2023,15,0.45,36747,-0.9989880848829328,0.44147797166377817,0.4995781968596076,-0.9989883883664229,4.243693362723488,0.4909244292051052,460,True,
2,2022,2023,15,0.5,24910,-0.9909448267515318,0.44470355330285893,0.5059413890004014,-0.990938483690115,3.2877559213167404,0.5024889602569249,460,True,
2,2022,2023,15,0.55,3378,-0.4442216059703229,0.47238145271861576,0.5207223208999407,-0.44429292467416903,2.5467732386027233,0.5168738898756661,460,True,
2,2022,2023,15,0.6,466,-0.060956392600711506,0.547119381575634,0.5493562231759657,-0.062133940096266604,2.924892703862661,0.5343347639484979,460,True,max_inner_2bps_compound_return_with_min_trades
2,2022,2023,15,0.65,105,-0.009193309637008817,0.6542253914429299,0.6,-0.012361643038320547,5.0095238095238095,0.5238095238095238,460,False,
2,2022,2023,15,0.7,37,-0.0026125719892016175,0.7090664846595831,0.5945945945945946,-0.00481779599701615,6.162162162162162,0.5675675675675675,460,False,
2,2022,2023,15,0.75,11,0.0007048814085444111,1.4847280351915713,0.7272727272727273,-0.000800259831956085,7.818181818181818,0.6363636363636364,460,False,
2,2022,2023,15,0.8,2,0.000600089999999831,inf,1.0,0.0,11.0,1.0,460,False,
2,2022,2023,30,0.34,46833,-0.9998471000846492,0.4439786437963169,0.5031067836781756,-0.999846992979735,6.377831870689471,0.49646616701898233,469,True,
