fold,validation_year,horizon_min,barrier_return,best_iteration,train_rows,validation_rows,valid_short_pct,valid_timeout_pct,valid_long_pct,pred_short_pct,pred_timeout_pct,pred_long_pct,accuracy,balanced_accuracy,macro_f1,predicted_trade_coverage,trades_at_0bps,compound_return_at_0bps,profit_factor_at_0bps,max_drawdown_at_0bps,trades_at_1bps,compound_return_at_1bps,profit_factor_at_1bps,max_drawdown_at_1bps,trades_at_2bps,compound_return_at_2bps,profit_factor_at_2bps,win_rate_at_2bps,max_drawdown_at_2bps,avg_hold_minutes_at_2bps,directional_accuracy_at_2bps,trades_at_5bps,compound_return_at_5bps,profit_factor_at_5bps,max_drawdown_at_5bps,skipped_beyond_validation_exit_at_2bps
1,2022,15,0.0005,300,246122,410826,0.3350785977518463,0.33141524635733866,0.3335061558908151,0.3371597708032111,0.3632535428624284,0.29958668633436053,0.5441135663273503,0.5447393567543032,0.5396205120156246,0.6367464571375716,45962,0.8066309607794855,1.056418021956117,-0.036913437873495436,45962,-0.9817740239214882,0.6886138601549366,-0.9817776625560796,45962,-0.99981621396942,0.4333671870090681,0.48844697793829683,-0.9998161955283058,5.180953831425961,0.47001871110917715,45962,-0.9999999998120772,0.0,-0.9999999998118891,0
1,2022,30,0.0005,295,245464,409819,0.39754867392678234,0.20796009945854146,0.3944912266146762,0.4141779663705197,0.19036940698210675,0.3954526266473736,0.5473806729312208,0.5810914916482423,0.5886594810896216,0.8096305930178933,46848,0.7941873336737972,1.0527864157995268,-0.03668812537073296,46848,-0.983434352984317,0.69614688306864,-0.9834244076288943,46848,-0.9998471218122771,0.4440743178075534,0.5032018442622951,-0.9998470147225829,6.378970286885246,0.496520662568306,46848,-0.9999999998801783,0.0,-0.9999999998800584,0
1,2022,60,0.0005,295,244192,407814,0.4321308243463932,0.14028454148214628,0.42758463417146053,0.43017650203278945,0.12431157341336982,0.4455119245538407,0.5506480895702452,0.6103349377461406,0.6236008822303055,0.8756884265866302,46223,1.0043378194649328,1.0629236428791367,-0.028820335295979715,46223,-0.9803002320867674,0.7070507971317332,-0.9803277810558766,46223,-0.9998064690091922,0.45359373326086216,0.5124721459013911,-0.9998066236811712,6.859247560738161,0.510784674296346,46223,-0.9999999998170158,0.0,-0.9999999998168326,0
2,2023,15,0.0005,147,328287,408783,0.28125191116068915,0.43541683484880733,0.2833312539905035,0.3269362962745515,0.46301338362896693,0.2100503200964815,0.5676556999679536,0.5278389577011611,0.5240287393420854,0.5369866163710331,34907,0.33446792151164306,1.037111520399957,-0.036473827673766945,34907,-0.9593319875589748,0.6678124927788326,-0.9593482482596709,34907,-0.998761071823887,0.41548274935774976,0.4712235368264245,-0.9987614433908697,6.026384392815195,0.4442948405763887,34907,-0.9999999650444926,0.0,-0.9999999650444926,0
2,2023,30,0.0005,149,327428,407849,0.35807369884442525,0.28095937467052756,0.36096692648504713,0.48091082729147305,0.23405966423848043,0.2850295084700465,0.5375592437397174,0.5485610166910916,0.5545722565065963,0.7659403357615195,36301,0.2961042282628388,1.0307744805340553,-0.07352668534047768,36301,-0.965641058569845,0.6754995604673757,-0.9656493578464409,36301,-0.9990894958277379,0.4273330127536129,0.4880306327649376,-0.9990892638340472,8.107655436489352,0.47478030908239444,36301,-0.9999999830931763,0.0,-0.9999999830837923,0
2,2023,60,0.0005,184,325755,406030,0.407913208383617,0.17870600694529962,0.4133807846710834,0.5259611358766594,0.14219392655715096,0.3318449375661897,0.5406915745141985,0.5737757829648329,0.5893936947940236,0.8578060734428491,35429,0.5940888194113298,1.05534807532615,-0.054291623118015386,35429,-0.953890148693639,0.6997983804253848,-0.9539592466636128,35429,-0.9986667210124136,0.4475866912485486,0.5073245081712722,-0.998668053358639,9.090998899206864,0.5028648846989754,35429,-0.9999999678353146,0.0,-0.9999999678192242,0
3,2024,15,0.0005,296,410044,410415,0.31596798362632944,0.35976511579742454,0.324266900576246,0.3784145316326158,0.40304326108938515,0.2185422072779991,0.55340326255132,0.5441207115629135,0.5322447672213936,0.5969567389106148,42325,0.20484401428429333,1.019346031354934,-0.09588022843336919,42325,-0.9825138017979075,0.6635503529704545,-0.9825102996603114,42325,-0.999746325905603,0.41706882026828973,0.47796810395747197,-0.999746224342047,5.368978145304194,0.459822799763733,42325,-0.999999999227471,0.0,-0.9999999992266977,0
3,2024,30,0.0005,272,408998,409358,0.37724192516086164,0.2303460540651459,0.39241202077399245,0.4376364942177752,0.23141357931199585,0.330949926470229,0.5459524426052502,0.5789629787795313,0.5761895087083022,0.7685864206880041,43322,0.2572790460287955,1.0223879886560323,-0.06146101641980639,43322,-0.9834843085690272,0.6751795188336217,-0.9834916832926117,43322,-0.9997831428918813,0.4301601666909943,0.49476016804394995,-0.999783131321735,6.696874567194497,0.4868427127094779,43322,-0.9999999995103622,0.0,-0.9999999995098721,0
3,2024,60,0.0005,227,406961,407258,0.41149345132569526,0.15513261863487027,0.4333739300394345,0.3570169278442658,0.1503322218348074,0.49265085032092676,0.5508792951887992,0.6078407152498255,0.6101234053178906,0.8496677781651926,42820,0.4780147019537011,1.0379589217027103,-0.06706951708840425,42820,-0.9795848049784828,0.6900561459049285,-0.9796295317277353,42820,-0.9997181342461423,0.4424623235146316,0.5060252218589444,-0.9997181622297426,7.2996496964035495,0.5038533395609528,42820,-0.9999999992600672,0.0,-0.9999999992593265,0
4,2025,15,0.0005,300,492127,409479,0.36466338933132103,0.2643310157541657,0.37100559491451335,0.49968130233784885,0.24866232456365284,0.2516563730984983,0.5385892805247644,0.5579897939866673,0.552919615135878,0.7513376754363471,61590,0.49663409678987236,1.0280693897705333,-0.06154164666398454,61590,-0.9968364160334544,0.6750988048236055,-0.9968475057364361,61590,-0.9999933169368594,0.42786184986858605,0.48949504789738596,-0.9999933260243035,4.280467608377983,0.4779184932618932,61590,-0.9999999999999373,0.0,-0.9999999999999372,0
