config,validation_year,train_rows,val_rows,best_iteration,accuracy,balanced_accuracy,roc_auc,pred_long_pct
dynamic_0p75x,2022,78653,27164,7,0.519989692239729,0.5137623028342111,0.5151025606880528,0.19437490796642615
dynamic_0p75x,2023,105817,26116,4,0.5120615714504518,0.500122833169052,0.5122762919982113,0.04548935518456119
dynamic_0p75x,2024,131933,27171,2,0.49394575098450555,0.5005485689411168,0.5096741681812478,0.005778219425122373
dynamic_0p75x,2025,159104,27265,1,0.5051531267192371,0.5,0.5025978161124183,0.0
dynamic_1p00x,2022,56388,19433,15,0.5189111305511244,0.5124808923388231,0.518119693400937,0.15741264858745432
dynamic_1p00x,2023,75821,18840,8,0.5169851380042463,0.49844754247565937,0.5146974730181022,0.03190021231422505
dynamic_1p00x,2024,94661,19532,1,0.4972353061642433,0.5,0.5045790874958478,0.0
dynamic_1p00x,2025,114193,19725,2,0.5140684410646388,0.498473103352717,0.5110792691832461,0.009429657794676806
