outer_fold,inner_year,outer_year,horizon_min,selected_threshold,inner_best_iteration,outer_best_iteration,inner_trades_at_2bps,inner_compound_at_2bps,inner_pf_at_2bps,inner_mdd_at_2bps,outer_accuracy_unfiltered,outer_balanced_accuracy_unfiltered,outer_macro_f1_unfiltered,outer_trade_coverage_filtered,outer_trades_filtered_0bps,outer_compound_filtered_0bps,outer_pf_filtered_0bps,outer_mdd_filtered_0bps,outer_trades_filtered_1bps,outer_compound_filtered_1bps,outer_pf_filtered_1bps,outer_mdd_filtered_1bps,outer_trades_filtered_2bps,outer_compound_filtered_2bps,outer_pf_filtered_2bps,outer_win_filtered_2bps,outer_mdd_filtered_2bps,outer_avg_hold_filtered_2bps,outer_directional_accuracy_filtered_2bps,outer_trades_unfiltered_2bps,outer_compound_unfiltered_2bps,outer_pf_unfiltered_2bps,outer_mdd_unfiltered_2bps,outer_trades_filtered_5bps,outer_compound_filtered_5bps,outer_pf_filtered_5bps,outer_mdd_filtered_5bps,skipped_beyond_validation_2bps
1,2021,2022,15,0.6,299,300,426,-0.06827767474689339,0.4831065944369822,-0.06920814004753639,0.5441135663273503,0.5447393567543032,0.5396205120156246,0.002543655951668103,466,0.030773930196961397,1.3110072677983649,-0.006857424909177068,466,-0.01615744107023187,0.8624476474950317,-0.02219055209508891,466,-0.060956392600711506,0.547119381575634,0.5493562231759657,-0.062133940096266604,2.924892703862661,0.5343347639484979,45962,-0.99981621396942,0.4333671870090681,-0.9998161955283058,466,-0.18350396789664858,0.0,-0.1826866545511998,0
1,2021,2022,30,0.6,291,295,618,-0.07501332316549325,0.5635561588066635,-0.07840389494292266,0.5473806729312208,0.5810914916482423,0.5886594810896216,0.00602461086479641,360,0.01846863600026305,1.2554984261237339,-0.01246634252015033,360,-0.017544090371985788,0.7996474798585739,-0.026693295746218038,360,-0.05228683032787618,0.4910930257632259,0.5027777777777778,-0.05589931238768164,9.838888888888889,0.46111111111111114,46848,-0.9998471218122771,0.4440743178075534,-0.9998470147225829,360,-0.14933400953399656,0.0,-0.14933400953399656,0
1,2021,2022,60,0.6,265,295,875,-0.09299391933342593,0.6033369584017609,-0.09335654949800365,0.5506480895702452,0.6103349377461406,0.6236008822303055,0.01740008925637668,813,0.03095417519389887,1.1718312408859564,-0.011524338137740564,813,-0.049546717721701716,0.7650552008114095,-0.052882241811841424,813,-0.1237689139738627,0.48208846483727585,0.5153751537515375,-0.12328201235205061,13.220172201722017,0.4981549815498155,46223,-0.9998064690091922,0.45359373326086216,-0.9998066236811712,813,-0.31346749056605927,0.0,-0.3127802708368962,0
2,2022,2023,15,0.6,300,147,466,-0.060956392600711506,0.547119381575634,-0.062133940096266604,0.5676556999679536,0.5278389577011611,0.5240287393420854,0.000432992565737812,19,0.009007671493626024,295.9953910386972,-3.0405878849726342e-05,19,0.0070931843020887175,55.21223478196827,-0.0001304058788496043,19,0.005182138808439651,23.43690198773942,0.9473684210526315,-0.00023040587884970432,11.421052631578947,0.9473684210526315,34907,-0.998761071823887,0.41548274935774976,-0.9987614433908697,19,-0.0005304058788496713,0.0,-0.0005304058788496713,0
2,2022,2023,30,0.55,295,149,4832,-0.5518083659478421,0.48701143029862987,-0.5517633943409574,0.5375592437397174,0.5485610166910916,0.5545722565065963,0.006767210413657996,340,0.030422347404393202,1.4937923469800394,-0.005398769318155527,340,-0.004021833054000834,0.9465889733823735,-0.01123281234989515,340,-0.03731791265037654,0.5764592407412934,0.5411764705882353,-0.03713119189505809,14.58235294117647,0.4823529411764706,36301,-0.9990894958277379,0.4273330127536129,-0.9990892638340472,340,-0.13069286082397646,0.0,-0.12982268350748394,0
2,2022,2023,60,0.6,295,184,813,-0.1237689139738627,0.48208846483727585,-0.12328201235205061,0.5406915745141985,0.5737757829648329,0.5893936947940236,0.01497180011329212,339,0.03680608746788372,1.6447948806565456,-0.0036311938116087017,339,0.0022493601795259277,1.0326571826039581,-0.005622401459744131,339,-0.031158876376569333,0.6250327929537608,0.56047197640118,-0.030770981230967775,34.12979351032448,0.49557522123893805,35429,-0.9986667210124136,0.4475866912485486,-0.998668053358639,339,-0.12486700296319564,0.0,-0.12399099395715274,0
3,2023,2024,15,0.5,147,296,10621,-0.8672093096436937,0.44403241195387877,-0.8673682604314834,0.55340326255132,0.5441207115629135,0.5322447672213936,0.15070111959845522,21974,0.09195262396403914,1.0168193934516798,-0.05447764969668034,21974,-0.8787055064098179,0.675028094275609,-0.8797206850226822,21974,-0.9865295245483038,0.43218561878242806,0.4993173750796396,-0.98659008237403,3.259579503049058,0.4958587421498134,42325,-0.999746325905603,0.41706882026828973,-0.999746224342047,21974,-0.9999815738097984,0.0,-0.9999815553651635,0
3,2023,2024,30,0.5,149,272,23946,-0.9892579248181993,0.4432656282891606,-0.9892643671641078,0.5459524426052502,0.5789629787795313,0.5761895087083022,0.35101304970221664,34104,0.15960049400933674,1.0181632381374348,-0.07862891903603897,34104,-0.9617067102492333,0.6766907674303818,-0.9617524647991175,34104,-0.9987358784822995,0.4337282584967167,0.5010849167253109,-0.9987357516401819,5.071340605207601,0.49835796387520526,43322,-0.9997831428918813,0.4301601666909943,-0.999783131321735,34104,-0.9999999546164855,0.0,-0.9999999545710566,0
3,2023,2024,60,0.55,184,227,2301,-0.3261803319130646,0.4647381058597709,-0.3265844418553515,0.5508792951887992,0.6078407152498255,0.6101234053178906,0.06410432698682408,2826,0.11556876430003271,1.1737026560853985,-0.010392111438260576,2826,-0.1590632670007116,0.7734601084504634,-0.16020493611075137,2826,-0.3661039779830595,0.4919384336888938,0.5258315640481246,-0.36623050362263354,14.35102618542109,0.5166312809624911,42820,-0.9997181342461423,0.4424623235146316,-0.9997181622297426,2826,-0.7285383634658276,0.0,-0.7282666300959235,0
4,2024,2025,15,0.55,296,300,2789,-0.380794495937157,0.4779907036405613,-0.3811037582220297,0.5385892805247644,0.5579897939866673,0.552919615135878,0.03739385902573758,10437,0.16999137675956733,1.06285047911603,-0.029474505648424132,10437,-0.5880034232571116,0.7073035534521166,-0.5889905855695745,10437,-0.8549361434299977,0.45392186932422673,0.5128868448787965,-0.8551535435156494,2.4021270480022996,0.5118329021749545,61590,-0.9999933169368594,0.42786184986858605,-0.9999933260243035,10437,-0.9936717452606524,0.0,-0.9936717452606524,0
4,2024,2025,30,0.6,272,300,449,-0.0663429455116844,0.5050773800349083,-0.06624234904426729,0.5493993133610535,0.5990958675359965,0.6075044301149031,0.007378185255383651,805,0.057424338451408374,1.326434906810297,-0.004494494767929735,805,-0.024360737735369176,0.8807851024609765,-0.03189255215316544,805,-0.09982750306795007,0.5639172569490909,0.5639751552795031,-0.10158511122248537,4.509316770186335,0.5614906832298137,60687,-0.9999922336567058,0.43583159825225093,-0.9999922413725687,805,-0.29300854148745303,0.0,-0.29300854148745303,0
4,2024,2025,60,0.6,227,294,697,-0.08366122927803643,0.5586604184495554,-0.08482348115135385,0.5533400463344798,0.6364931348075974,0.6351243692021307,0.016251535660561776,1315,0.06363853344511217,1.2101455535921462,-0.0160390096105133,1315,-0.06742417071294726,0.8034028744725742,-0.07242204640615058,1315,-0.18234793836921104,0.5144956134423062,0.5429657794676807,-0.18388619517435467,6.6714828897338405,0.538403041825095,60087,-0.9999891458859314,0.44489813231789727,-0.9999891599844566,1315,-0.44895457863980226,0.0,-0.44883517157265673,0
