config,barrier_multiplier,validation_year,train_rows,val_rows,purged_rows,best_iteration,accuracy,balanced_accuracy,roc_auc,pr_auc,brier_score,actual_event_pct,pred_event_pct
dynamic_0p50x,0.5,2022,128840,43045,0,213,0.9382971309095133,0.5028589487833736,0.7611335352123034,0.9784516024130998,0.05448933976475143,0.9382042049018469,0.9993495179463352
dynamic_0p50x,0.5,2023,171885,42813,0,76,0.9298811108775372,0.5,0.7299853064892174,0.9725509271863206,0.06289036050818468,0.9298811108775372,1.0
dynamic_0p50x,0.5,2024,214698,42962,0,134,0.9418323169312416,0.49998764333728746,0.7590436772114411,0.9794251975640728,0.05161285898936562,0.9418555933150226,0.999976723616219
dynamic_0p50x,0.5,2025,257660,42858,0,408,0.9431144710439124,0.5030129805547585,0.7583414668719974,0.9800760436980687,0.05073450248010694,0.9428578095104765,0.999556675533156
dynamic_0p75x,0.75,2022,128848,43059,0,261,0.760491418751016,0.5504867275987563,0.7067967105450691,0.8786526378826232,0.1669297785685371,0.7551499105877981,0.9372953389535289
dynamic_0p75x,0.75,2023,171907,42818,0,65,0.7302769863141669,0.5044625444171325,0.6819818274832579,0.8530969665987986,0.18592209489992179,0.7293895090849642,0.994254752674109
dynamic_0p75x,0.75,2024,214725,42956,0,131,0.7544464102802868,0.5152981021842996,0.7029546783208305,0.8741772867644022,0.1694384095486227,0.7508846261290623,0.9842862463916566
dynamic_0p75x,0.75,2025,257681,42862,0,360,0.7586206896551724,0.5345234503805028,0.6966021700121061,0.8748435203863468,0.16835573136500553,0.7556576921282254,0.9559283281228127
dynamic_1p00x,1.0,2022,128858,43056,0,244,0.6426746562616128,0.6374533421831525,0.6951471204010683,0.730087321902265,0.21901332386295422,0.5489130434782609,0.5668199554069119
dynamic_1p00x,1.0,2023,171914,42818,0,57,0.5998411882853005,0.5854754157500721,0.6791992568008383,0.7111305747340343,0.2288606432081121,0.5290999112522771,0.751809986454295
dynamic_1p00x,1.0,2024,214732,42943,0,91,0.6267144819877513,0.6131210482715053,0.6877362851529134,0.7278588385916406,0.22246659312866723,0.5447686468108889,0.6619472323778032
dynamic_1p00x,1.0,2025,257675,42864,0,260,0.6294559537140724,0.6241199763468994,0.6784300381571216,0.721961689865392,0.2230984295549014,0.5513951101157148,0.5646696528555432
