config,barrier_multiplier,validation_year,train_rows,val_rows,best_iteration,accuracy,balanced_accuracy,roc_auc,short_val_pct,long_val_pct,pred_short_pct,pred_long_pct,tn,fp,fn,tp
dynamic_0p50x,0.5,2022,119650,40385,2,0.494094341958648,0.49950763323570746,0.5044655915237715,0.5060789897239074,0.4939210102760926,0.054748050018571255,0.9452519499814287,1109,19329,1102,18845
dynamic_0p50x,0.5,2023,160035,39811,19,0.5095827786290221,0.5054364304612526,0.5138914285542632,0.5071462661073572,0.49285373389264275,0.7901836175931275,0.20981638240687248,16062,4128,15396,4225
dynamic_0p50x,0.5,2024,199846,40464,2,0.5000494266508502,0.5022771501456235,0.5037937530479589,0.4972073942269672,0.5027926057730329,0.8988483590351918,0.10115164096480822,18130,1989,18241,2104
dynamic_0p50x,0.5,2025,240310,40409,1,0.4933059466950432,0.5008556960613224,0.5013747059207124,0.4921180925041451,0.5078819074958549,0.9789155881115593,0.021084411888440693,19484,402,20073,450
dynamic_0p75x,0.75,2022,94507,32516,7,0.5038135071964571,0.500923395702829,0.5092500460788668,0.5083958666502645,0.4916041333497355,0.6721306433755689,0.32786935662443106,11126,5405,10729,5256
dynamic_0p75x,0.75,2023,127023,31231,10,0.5138484198392622,0.5035536515955975,0.507155803118002,0.5116390765585476,0.4883609234414524,0.9423329384265634,0.05766706157343665,15113,866,14317,935
dynamic_0p75x,0.75,2024,158254,32255,1,0.4956130832429081,0.5,0.50834473210651,0.4956130832429081,0.5043869167570919,1.0,0.0,15986,0,16269,0
dynamic_0p75x,0.75,2025,190509,32389,1,0.5017135447219735,0.500155241408426,0.5020863532455363,0.5015591713235975,0.4984408286764025,0.9997221278829233,0.0002778721170767853,16243,2,16137,7
dynamic_1p00x,1.0,2022,68417,23634,6,0.5094778708640095,0.5036375195430403,0.5149780123786197,0.5068968435305069,0.4931031564694931,0.9234577303884235,0.07654226961157654,11106,874,10719,935
dynamic_1p00x,1.0,2023,92051,22655,1,0.5154270580445818,0.5,0.49612218902447897,0.5154270580445818,0.4845729419554182,1.0,0.0,11677,0,10978,0
dynamic_1p00x,1.0,2024,114706,23394,1,0.4996152859707617,0.5,0.5091126478485618,0.4996152859707617,0.5003847140292382,1.0,0.0,11688,0,11706,0
dynamic_1p00x,1.0,2025,138100,23635,1,0.5108525491855299,0.5,0.5040154451063581,0.5108525491855299,0.4891474508144701,1.0,0.0,12074,0,11561,0
