outer_fold,outer_validation_year,inner_validation_year,horizon_min,threshold,best_iteration,trades,longs,shorts,gross_sum,net_sum,compound_return,win_rate,profit_factor,max_drawdown,avg_trade_net
1.0,2022.0,2021.0,30.0,0.0002,8.0,20.0,13.0,7.0,0.03779323607523111,0.03379323607523111,0.03424758551702434,0.7,8.27949832992533,-0.0013785889510066207,0.0016896618037615554
2.0,2023.0,2022.0,5.0,0.0001,18.0,55.0,55.0,0.0,3.0027300454094075e-05,-0.010969972699545909,-0.010985180403656036,0.4727272727272727,0.7124576794494821,-0.017990064970822228,-0.00019945404908265288
3.0,2024.0,2023.0,30.0,0.0001,16.0,159.0,25.0,134.0,0.054999372905513155,0.02319937290551316,0.022689403329196,0.5094339622641509,1.1545351163663689,-0.019526779032062902,0.00014590800569505132
4.0,2025.0,2024.0,60.0,0.0005,13.0,65.0,0.0,65.0,0.09942449477966875,0.08642449477966875,0.0892233495364756,0.5846153846153846,1.9636470808473325,-0.019673894402741032,0.0013296076119949038
