config,multiplier,horizon_min,validation_year,best_iteration,train_rows,validation_rows,purged_train_rows,actual_short_pct,actual_timeout_pct,actual_long_pct,pred_short_pct,pred_timeout_pct,pred_long_pct,accuracy,balanced_accuracy,macro_f1,cost_bps,trades,compound_return,profit_factor,win_rate,max_drawdown,avg_hold_minutes,directional_accuracy
dynamic_0p50x,0.5,60,2022,210,128840,43045,0,47.480543617144846,6.1795795098153095,46.33987687303984,47.70821233592752,0.31594842606574514,51.975839238006735,0.4727378325008712,0.34252635454844493,0.3387647342173705,0,10777,0.058098161568375994,1.0120228042893025,0.5036652129535121,-0.10571290330788641,17.346571402059944,0.481117194024311
dynamic_0p50x,0.5,60,2022,210,128840,43045,0,47.480543617144846,6.1795795098153095,46.33987687303984,47.70821233592752,0.31594842606574514,51.975839238006735,0.4727378325008712,0.34252635454844493,0.3387647342173705,1,10777,-0.6398648156573116,0.8249269689490509,0.5009742971142247,-0.6400754906970283,17.346571402059944,0.481117194024311
dynamic_0p50x,0.5,60,2022,210,128840,43045,0,47.480543617144846,6.1795795098153095,46.33987687303984,47.70821233592752,0.31594842606574514,51.975839238006735,0.4727378325008712,0.34252635454844493,0.3387647342173705,2,10777,-0.8774372961816943,0.669715429321661,0.4967987380532616,-0.8774372961816943,17.346571402059944,0.481117194024311
dynamic_0p50x,0.5,60,2022,210,128840,43045,0,47.480543617144846,6.1795795098153095,46.33987687303984,47.70821233592752,0.31594842606574514,51.975839238006735,0.4727378325008712,0.34252635454844493,0.3387647342173705,5,10777,-0.9951721284928545,0.3338546471932549,0.4601466085181405,-0.9951721284928545,17.346571402059944,0.481117194024311
dynamic_0p50x,0.5,60,2023,83,171885,42813,0,47.158573330530444,7.011888912246281,45.82953775722327,68.81788241889146,0.03970756545908953,31.142410015649453,0.47228645504870015,0.3375379445495463,0.3151085390261019,0,10751,0.11990325552824133,1.0276001891937587,0.5060924565156729,-0.07284584476843281,17.29401916100828,0.4820016742628593
dynamic_0p50x,0.5,60,2023,83,171885,42813,0,47.158573330530444,7.011888912246281,45.82953775722327,68.81788241889146,0.03970756545908953,31.142410015649453,0.47228645504870015,0.3375379445495463,0.3151085390261019,1,10751,-0.6178341434939562,0.8006265580542123,0.5012556971444517,-0.6205836765595119,17.29401916100828,0.4820016742628593
dynamic_0p50x,0.5,60,2023,83,171885,42813,0,47.158573330530444,7.011888912246281,45.82953775722327,68.81788241889146,0.03970756545908953,31.142410015649453,0.47228645504870015,0.3375379445495463,0.3151085390261019,2,10751,-0.8696003094458604,0.619410599120661,0.49679099618640127,-0.8700288439346786,17.29401916100828,0.4820016742628593
dynamic_0p50x,0.5,60,2023,83,171885,42813,0,47.158573330530444,7.011888912246281,45.82953775722327,68.81788241889146,0.03970756545908953,31.142410015649453,0.47228645504870015,0.3375379445495463,0.3151085390261019,5,10751,-0.9948230937286362,0.2568074827667737,0.39317272811831455,-0.9948230937286362,17.29401916100828,0.4820016742628593
dynamic_0p50x,0.5,60,2024,148,214698,42962,0,46.82975652902565,5.814440668497743,47.35580280247661,77.16586751082352,0.09776081188026628,22.736371677296216,0.4752804804245612,0.34023134662234306,0.3074136101631549,0,11076,0.13525954578853616,1.027354073408472,0.5041531238714337,-0.09126326383886907,16.870892018779344,0.4836583604189238
dynamic_0p50x,0.5,60,2024,148,214698,42962,0,46.82975652902565,5.814440668497743,47.35580280247661,77.16586751082352,0.09776081188026628,22.736371677296216,0.4752804804245612,0.34023134662234306,0.3074136101631549,1,11076,-0.6249822638419218,0.8192198949663642,0.5,-0.6347233361627376,16.870892018779344,0.4836583604189238
