tag,barrier_bps,horizon_min,validation_year,best_iteration,train_rows,validation_rows,actual_short_pct,actual_timeout_pct,actual_long_pct,pred_short_pct,pred_timeout_pct,pred_long_pct,accuracy,balanced_accuracy,macro_f1,cost_bps,trades,compound_return,profit_factor,win_rate,max_drawdown,avg_hold_minutes,directional_accuracy
5bps_60m_control,5,60,2022,288,244128,81569,43.31179737400238,14.056810798219912,42.63139182777771,43.146293322218,12.38338094128897,44.47032573649303,0.5483455724601258,0.6075946915162618,0.621437132978376,0,33257,0.47775193618961476,1.0489972713594151,0.5116216134949033,-0.03943265585490907,7.8531436990708725,0.505908530534925
5bps_60m_control,5,60,2022,288,244128,81569,43.31179737400238,14.056810798219912,42.63139182777771,43.146293322218,12.38338094128897,44.47032573649303,0.5483455724601258,0.6075946915162618,0.621437132978376,1,33257,-0.9468855192575729,0.6972465113204356,0.5098475508915417,-0.9469173242383435,7.8531436990708725,0.505908530534925
5bps_60m_control,5,60,2022,288,244128,81569,43.31179737400238,14.056810798219912,42.63139182777771,43.146293322218,12.38338094128897,44.47032573649303,0.5483455724601258,0.6075946915162618,0.621437132978376,2,33257,-0.9980915539636838,0.44698795093031096,0.5084643834380732,-0.9980915539636838,7.8531436990708725,0.505908530534925
5bps_60m_control,5,60,2022,288,244128,81569,43.31179737400238,14.056810798219912,42.63139182777771,43.146293322218,12.38338094128897,44.47032573649303,0.5483455724601258,0.6075946915162618,0.621437132978376,5,33257,-0.9999999116485514,0.0,0.0,-0.9999999116485514,7.8531436990708725,0.505908530534925
5bps_60m_control,5,60,2023,175,325697,81202,40.90047043176276,17.90842590083988,41.19110366739736,55.96290731755376,14.137582818157188,29.899509864289058,0.5419817245880644,0.5742214307896697,0.5868551423690924,0,26459,0.24161227063014312,1.0343549685280822,0.5081446766695642,-0.034326107607574374,10.436940171586228,0.49510563513360295
5bps_60m_control,5,60,2023,175,325697,81202,40.90047043176276,17.90842590083988,41.19110366739736,55.96290731755376,14.137582818157188,29.899509864289058,0.5419817245880644,0.5742214307896697,0.5868551423690924,1,26459,-0.9119279659911537,0.6849386166108581,0.5036849465210326,-0.9120203181000501,10.436940171586228,0.49510563513360295
5bps_60m_control,5,60,2023,175,325697,81202,40.90047043176276,17.90842590083988,41.19110366739736,55.96290731755376,14.137582818157188,29.899509864289058,0.5419817245880644,0.5742214307896697,0.5868551423690924,2,26459,-0.9937543862035465,0.4375664013695376,0.5003968403945728,-0.9937565413937314,10.436940171586228,0.49510563513360295
5bps_60m_control,5,60,2023,175,325697,81202,40.90047043176276,17.90842590083988,41.19110366739736,55.96290731755376,14.137582818157188,29.899509864289058,0.5419817245880644,0.5742214307896697,0.5868551423690924,5,26459,-0.9999977761954894,0.0,0.0,-0.9999977761954894,10.436940171586228,0.49510563513360295
5bps_60m_control,5,60,2024,243,406899,81444,41.18044300378174,15.494081823093167,43.32547517312509,41.84593094641717,15.021364373066156,43.132704680516675,0.5480821177741761,0.6069510624751403,0.6102578667691274,0,31409,0.09041966052444717,1.0116851917233316,0.5028495017351714,-0.10822751785933826,8.247285809799738,0.4964182240759018
5bps_60m_control,5,60,2024,243,406899,81444,41.18044300378174,15.494081823093167,43.32547517312509,41.84593094641717,15.021364373066156,43.132704680516675,0.5480821177741761,0.6069510624751403,0.6102578667691274,1,31409,-0.9528530592352784,0.6721607081103831,0.5008118692094623,-0.9529467883007197,8.247285809799738,0.4964182240759018
5bps_60m_control,5,60,2024,243,406899,81444,41.18044300378174,15.494081823093167,43.32547517312509,41.84593094641717,15.021364373066156,43.132704680516675,0.5480821177741761,0.6069510624751403,0.6102578667691274,2,31409,-0.9979621278783715,0.43072834902783386,0.4989334267248241,-0.9979621278783715,8.247285809799738,0.4964182240759018
5bps_60m_control,5,60,2024,243,406899,81444,41.18044300378174,15.494081823093167,43.32547517312509,41.84593094641717,15.021364373066156,43.132704680516675,0.5480821177741761,0.6069510624751403,0.6102578667691274,5,31409,-0.9999998357413379,0.0,0.0,-0.9999998357413379,8.247285809799738,0.4964182240759018
5bps_60m_control,5,60,2025,334,488343,81253,42.89933910132549,12.739221936420808,44.3614389622537,35.06701291029255,12.683839365931105,52.24914772377636,0.5551179648751431,0.6368672598001278,0.6347853812462935,0,40245,0.33156950885502234,1.0295115164386779,0.5069698099142751,-0.09186223978160046,5.842166728786185,0.5041123120884582
5bps_60m_control,5,60,2025,334,488343,81253,42.89933910132549,12.739221936420808,44.3614389622537,35.06701291029255,12.683839365931105,52.24914772377636,0.5551179648751431,0.6368672598001278,0.6347853812462935,1,40245,-0.9762058320366963,0.6851974158427134,0.5061001366629395,-0.9762816383346319,5.842166728786185,0.5041123120884582
5bps_60m_control,5,60,2025,334,488343,81253,42.89933910132549,12.739221936420808,44.3614389622537,35.06701291029255,12.683839365931105,52.24914772377636,0.5551179648751431,0.6368672598001278,0.6347853812462935,2,40245,-0.9995749868282157,0.43982628495097686,0.5051559199900609,-0.9995751991011101,5.842166728786185,0.5041123120884582
5bps_60m_control,5,60,2025,334,488343,81253,42.89933910132549,12.739221936420808,44.3614389622537,35.06701291029255,12.683839365931105,52.24914772377636,0.5551179648751431,0.6368672598001278,0.6347853812462935,5,40245,-0.9999999975837117,0.0,0.0,-0.9999999975837117,5.842166728786185,0.5041123120884582
10bps_60m,10,60,2022,296,245471,81845,34.42238377420735,31.547437228908304,34.03017899688435,34.90744700348219,32.846233734498135,32.246319262019675,0.5361964689351824,0.5416114510822099,0.5393185894352893,0,13989,0.28043668178178893,1.0389479220582902,0.5109014225462863,-0.05959147124347486,18.371649152905853,0.46743870183715774
10bps_60m,10,60,2022,296,245471,81845,34.42238377420735,31.547437228908304,34.03017899688435,34.90744700348219,32.846233734498135,32.246319262019675,0.5361964689351824,0.5416114510822099,0.5393185894352893,1,13989,-0.6839151865386103,0.8410287151108216,0.5044677961255272,-0.6848325455565472,18.371649152905853,0.46743870183715774
10bps_60m,10,60,2022,296,245471,81845,34.42238377420735,31.547437228908304,34.03017899688435,34.90744700348219,32.846233734498135,32.246319262019675,0.5361964689351824,0.5416114510822099,0.5393185894352893,2,13989,-0.9219831538591242,0.6780139304735459,0.4981771391807849,-0.9220602353600584,18.371649152905853,0.46743870183715774
10bps_60m,10,60,2022,296,245471,81845,34.42238377420735,31.547437228908304,34.03017899688435,34.90744700348219,32.846233734498135,32.246319262019675,0.5361964689351824,0.5416114510822099,0.5393185894352893,5,13989,-0.9988278641064083,0.32880578880485856,0.48216455786689544,-0.9988278641064083,18.371649152905853,0.46743870183715774
10bps_60m,10,60,2023,102,327316,81330,28.571252920201644,42.50215172752982,28.926595352268535,48.76921185294479,35.337513832534114,15.893274314521086,0.5258453215295709,0.5056220007466589,0.495577948447258,0,10946,-0.08893939516627192,0.9823577707327459,0.49579755161702904,-0.13230213783712697,23.125342590900786,0.4226201352092088
10bps_60m,10,60,2023,102,327316,81330,28.571252920201644,42.50215172752982,28.926595352268535,48.76921185294479,35.337513832534114,15.893274314521086,0.5258453215295709,0.5056220007466589,0.495577948447258,1,10946,-0.6951118801712907,0.7874185878603642,0.48428649735063034,-0.6973072876117901,23.125342590900786,0.4226201352092088
10bps_60m,10,60,2023,102,327316,81330,28.571252920201644,42.50215172752982,28.926595352268535,48.76921185294479,35.337513832534114,15.893274314521086,0.5258453215295709,0.5056220007466589,0.495577948447258,2,10946,-0.8979797958527042,0.6287571136666112,0.4735976612461173,-0.8982206303240701,23.125342590900786,0.4226201352092088
10bps_60m,10,60,2023,102,327316,81330,28.571252920201644,42.50215172752982,28.926595352268535,48.76921185294479,35.337513832534114,15.893274314521086,0.5258453215295709,0.5056220007466589,0.495577948447258,5,10946,-0.9961802242978874,0.2973299542208199,0.44299287410926363,-0.9961804836950183,23.125342590900786,0.4226201352092088
10bps_60m,10,60,2024,234,408646,81655,31.637989100483743,34.986222521584715,33.37578837793154,47.079786908333844,36.91384483497642,16.006368256689733,0.5461759843242913,0.5444213525080721,0.52071616381764,0,12784,0.08925138436820168,1.0152855427260081,0.5022684605757196,-0.08686716746687595,19.10857321652065,0.4594023779724656
10bps_60m,10,60,2024,234,408646,81655,31.637989100483743,34.986222521584715,33.37578837793154,47.079786908333844,36.91384483497642,16.006368256689733,0.5461759843242913,0.5444213525080721,0.52071616381764,1,12784,-0.6966795101439698,0.8207284362636986,0.49507196495619527,-0.7008082117200536,19.10857321652065,0.4594023779724656
10bps_60m,10,60,2024,234,408646,81655,31.637989100483743,34.986222521584715,33.37578837793154,47.079786908333844,36.91384483497642,16.006368256689733,0.5461759843242913,0.5444213525080721,0.52071616381764,2,12784,-0.9155460734618871,0.6609111001074418,0.4889705882352941,-0.9161021526149967,19.10857321652065,0.4594023779724656
10bps_60m,10,60,2024,234,408646,81655,31.637989100483743,34.986222521584715,33.37578837793154,47.079786908333844,36.91384483497642,16.006368256689733,0.5461759843242913,0.5444213525080721,0.52071616381764,5,12784,-0.9981784510628551,0.3199195753097748,0.4719180225281602,-0.9981786716348182,19.10857321652065,0.4594023779724656
10bps_60m,10,60,2025,240,490301,81796,37.197417966648736,23.882585945523008,38.91999608782826,53.90361386864883,24.532984498019463,21.5634016333317,0.5264438358843954,0.5564097741198318,0.537116047077724,0,18963,0.17281774931465388,1.0184707379185507,0.5036122976322311,-0.14967763636799647,14.08295100986131,0.48251858883088117
10bps_60m,10,60,2025,240,490301,81796,37.197417966648736,23.882585945523008,38.91999608782826,53.90361386864883,24.532984498019463,21.5634016333317,0.5264438358843954,0.5564097741198318,0.537116047077724,1,18963,-0.8239470728293562,0.8284264644290354,0.5002900384960186,-0.825807965530166,14.08295100986131,0.48251858883088117
10bps_60m,10,60,2025,240,490301,81796,37.197417966648736,23.882585945523008,38.91999608782826,53.90361386864883,24.532984498019463,21.5634016333317,0.5264438358843954,0.5564097741198318,0.537116047077724,2,18963,-0.9735775186379769,0.6711604430548779,0.4968623108157992,-0.9736140821801064,14.08295100986131,0.48251858883088117
10bps_60m,10,60,2025,240,490301,81796,37.197417966648736,23.882585945523008,38.91999608782826,53.90361386864883,24.532984498019463,21.5634016333317,0.5264438358843954,0.5564097741198318,0.537116047077724,5,18963,-0.999910778347626,0.3303445876600482,0.4882138902072457,-0.9999108229361579,14.08295100986131,0.48251858883088117
15bps_60m,15,60,2022,243,245670,81885,24.439152469927336,51.69689198265861,23.863955547414058,17.782255602369176,65.04976491420895,17.16797948342187,0.6011357391463638,0.4940669170325788,0.4924673563569013,0,6267,0.10655108502845012,1.0253975083136175,0.505026328386788,-0.11752766378853718,24.543322163714695,0.4365725227381522
15bps_60m,15,60,2022,243,245670,81885,24.439152469927336,51.69689198265861,23.863955547414058,17.782255602369176,65.04976491420895,17.16797948342187,0.6011357391463638,0.4940669170325788,0.4924673563569013,1,6267,-0.4087248419214933,0.8857799366264607,0.49848412318493696,-0.427820775872392,24.543322163714695,0.4365725227381522
15bps_60m,15,60,2022,243,245670,81885,24.439152469927336,51.69689198265861,23.863955547414058,17.782255602369176,65.04976491420895,17.16797948342187,0.6011357391463638,0.4940669170325788,0.4924673563569013,2,6267,-0.6840774868980117,0.7643313934025462,0.49082495611935534,-0.6868778129922644,24.543322163714695,0.4365725227381522
15bps_60m,15,60,2022,243,245670,81885,24.439152469927336,51.69689198265861,23.863955547414058,17.782255602369176,65.04976491420895,17.16797948342187,0.6011357391463638,0.4940669170325788,0.4924673563569013,5,6267,-0.9518285169213943,0.4817325816542441,0.47151747247486836,-0.9519247155655476,24.543322163714695,0.4365725227381522
15bps_60m,15,60,2023,103,327555,81359,18.18606423382785,63.281259602502494,18.532676163669663,17.409260192480243,76.03215378753426,6.558586019985496,0.6780442237490628,0.48302032588746585,0.4804469682852362,0,4167,0.1067401086805495,1.0386988801969128,0.5087592992560596,-0.07147260966715263,25.958003359731222,0.42116630669546434
15bps_60m,15,60,2023,103,327555,81359,18.18606423382785,63.281259602502494,18.532676163669663,17.409260192480243,76.03215378753426,6.558586019985496,0.6780442237490628,0.48302032588746585,0.4804469682852362,1,4167,-0.27042436861943464,0.8938149152883927,0.4991600671946244,-0.28339597620788615,25.958003359731222,0.42116630669546434
15bps_60m,15,60,2023,103,327555,81359,18.18606423382785,63.281259602502494,18.532676163669663,17.409260192480243,76.03215378753426,6.558586019985496,0.6780442237490628,0.48302032588746585,0.4804469682852362,2,4167,-0.5190755131970122,0.7682985355329276,0.4917206623470122,-0.5211949332732897,25.958003359731222,0.42116630669546434
15bps_60m,15,60,2023,103,327555,81359,18.18606423382785,63.281259602502494,18.532676163669663,17.409260192480243,76.03215378753426,6.558586019985496,0.6780442237490628,0.48302032588746585,0.4804469682852362,5,4167,-0.8622828690360153,0.47866610815876237,0.46316294696424287,-0.8626860495199596,25.958003359731222,0.42116630669546434
15bps_60m,15,60,2024,132,408914,81675,22.01285583103765,55.2996632996633,22.68748086929905,28.690541781450875,68.35996326905418,2.9494949494949494,0.619675543311907,0.4901019407097651,0.44873528080657193,0,5610,-0.05902504927211927,0.9855306242763096,0.4926916221033868,-0.11599415500261989,24.98270944741533,0.42388591800356507
15bps_60m,15,60,2024,132,408914,81675,22.01285583103765,55.2996632996633,22.68748086929905,28.690541781450875,68.35996326905418,2.9494949494949494,0.619675543311907,0.4901019407097651,0.44873528080657193,1,5610,-0.46306243033844807,0.8500123761320749,0.48538324420677365,-0.48031315224667526,24.98270944741533,0.42388591800356507
